"Method","GroupBasedOn","Group","HeS","HoS","DL","HD","DR"
"CbMPDiCbraya","Status","Wild","0.0134441202196161","0.0925085597780115","0.387094852038933","0.000661286087619953","0.506291181875819"
"CbMPDiCbraya","Status","Domesticated","0.00970447047508521","0.108827944526228","0.41279829726964","0.00291570333609007","0.465753584392956"
"CbMPDiCbraya","Status","Wild_vs_Domesticated","0.013479908144353","0.0934185849240102","0.406627031504015","0.00151789289387358","0.484956582533748"
