"Method","name1","name2","HeS","HoS","DL","HD","DR"
"CbMPDiCbraya","G10024","G106",0.0204217396761642,0.0271102476301099,0.260949904777426,0.000177644991079246,0.691340462925221
"CbMPDiCbraya","G10024","G1071",0.0204217396761642,0.0300362566598568,0.351288126019832,0,0.598253877644147
"CbMPDiCbraya","G10024","G109",0.0204217396761642,0.139369249699272,0.259687283396498,0,0.580521727228066
"CbMPDiCbraya","G10024","G110",0.00361831909268626,0.217371064849914,0.374796658702403,0,0.404213957354997
"CbMPDiCbraya","G10024","G111",0.0228971022805482,0,0.453812006089562,0,0.52329089162989
"CbMPDiCbraya","G10024","G1115",0,0.127661525970777,0.369042017286674,0.000115912045316823,0.503180544697232
"CbMPDiCbraya","G10024","G1220",0.0239019082480446,0.0509637726761369,0.438508012337088,0,0.486626306738731
"CbMPDiCbraya","G10024","G12983",0.0204217396761642,0.181200349244942,0.626429678578946,4.40195094465867e-06,0.171943830549003
"CbMPDiCbraya","G10024","G13505",0,0.151765880353755,0.338853058429588,0,0.509381061216657
"CbMPDiCbraya","G10024","G1459",0.00556536332048745,0.201179357456412,0.4038672870437,0,0.389387992179401
"CbMPDiCbraya","G10024","G1642",0.0204217396761642,0.0492598754360562,0.501647426966762,0,0.428670957921017
"CbMPDiCbraya","G10024","G1653",0.0566475256613198,0.0265950635013162,0.278974738604392,0.000133413714927013,0.637649258518045
"CbMPDiCbraya","G10024","G16701",0.0285912293319784,0.0888154027373684,0.548530830086548,4.80699899053021e-05,0.3340144678542
"CbMPDiCbraya","G10024","G1679",0.011161151468305,0.113269591151698,0.493507138035917,0.0191035843761486,0.362958534967931
"CbMPDiCbraya","G10024","G18440",0.0221879721940668,0.0331400596391243,0.265482158679147,7.42374786984922e-05,0.679115572008964
"CbMPDiCbraya","G10024","G18889",0.0785805689683061,0.086091163528494,0.206746797272026,0,0.628581470231174
"CbMPDiCbraya","G10024","G19177",0.0228070199432458,0.0919272645808428,0.368317729561598,5.02071043052592e-05,0.516897778810008
