"Group1","Group2","Heterogeneous.Selection_Relative.Diff","Heterogeneous.Selection_Cohen.d","Heterogeneous.Selection_Effect.Size","Heterogeneous.Selection_P.value","Homogeneous.Selection_Relative.Diff","Homogeneous.Selection_Cohen.d","Homogeneous.Selection_Effect.Size","Homogeneous.Selection_P.value","Dispersal.Limitation_Relative.Diff","Dispersal.Limitation_Cohen.d","Dispersal.Limitation_Effect.Size","Dispersal.Limitation_P.value","Homogenizing.Dispersal_Relative.Diff","Homogenizing.Dispersal_Cohen.d","Homogenizing.Dispersal_Effect.Size","Homogenizing.Dispersal_P.value","Drift.and.Others_Relative.Diff","Drift.and.Others_Cohen.d","Drift.and.Others_Effect.Size","Drift.and.Others_P.value","Stochasticity_Relative.Diff","Stochasticity_Cohen.d","Stochasticity_Effect.Size","Stochasticity_P.value"
"Wild","Domesticated","0.278162474259524","0.825651638991683","large","0.285432714567285","-0.149955829996254","-1.05940487707099","large","0.227030772969227","-0.0622663547808123","-0.764746109864266","medium","0.295000704999295","-0.773198432284015","-1.2140625015516","large","0.223228776771223","0.0800677533680717","1.05394756336839","large","0.22961477038523","0.0140705471872032","0.766820528030766","medium","0.296639703360297"
"Wild","Wild_vs_Domesticated","-0.00265490865023665","-0.0186139560517903","negligible","0.475137524862475","-0.00974137155619377","-0.0252866366188321","negligible","0.484976515023485","-0.0480346311282771","-0.626000237800455","medium","0.328000671999328","-0.564339427182911","-1.29412126415844","large","0.167805832194168","0.0421389905765802","0.621058993987624","medium","0.32983667016333","0.00105790045960093","0.029580267259676","negligible","0.486178513821486"
"Domesticated","Wild_vs_Domesticated","-0.280078886950678","-1.03794159078846","large","0.227103772896227","0.141593776022338","1.11691171143471","large","0.217661782338218","0.0149498333845933","0.279467102603316","small","0.418979581020419","0.479407635514434","0.700865727528498","medium","0.368360631639368","-0.039597355376562","-0.608443016332368","medium","0.332502667497332","-0.0130264273911263","-0.818509420649504","large","0.288456711543288"
